Dates,ABT,ACN,JBL,MNST,EBAY,KIM,EOG,SHW,VRSN,LRCX,DGX,FE,CLX,IP,LUV,KEY,DOV,NKE,VZ,WAT,UNH,MCO,EA,WM,COST,APC,SLB,SYK,NBR,QCOM,SNA,ADBE,GPS,WEC,MSI,XEL,EXPD,ZION,FDX,HPQ,PDCO,BWA
Date,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
2000-01-04 16:00:00,17.09,12.56,32.31,0.04,2.83,11.19,3.88,6.46,189,35.67,7.48,22.06,47.88,51.25,10.29,20.5,28.83,5.69,52.25,24.88,6.63,27.87,22.34,17.31,42,4,27.09,16.91,720.31,81,26.5,15.02,41.56,9.59,164.9,19.44,10.62,52.81,41.5,12.32,10.05,4.84
2000-01-05 16:00:00,16.97,12.44,32.25,0.04,3.02,11.25,3.77,6.48,177.5,35.19,7.42,22.88,49.13,53.02,10.25,20.13,28.96,6.02,54,26.03,6.62,27.38,22.33,17.38,42.78,4,27.03,17.42,740.63,76.5,25.56,15.31,39.75,10.03,160.5,20.19,10.66,52.81,42.44,12.24,11.16,4.86
2000-01-06 16:00:00,17.25,12.5,31.22,0.04,2.98,11.58,4.08,6.58,153,35.06,7.45,22.94,49.56,54.03,10.21,20.88,29.08,5.98,53.38,25.25,6.9,27.5,20,17.25,43.64,4,28.88,17.8,776.56,66.5,25.63,15.44,44.44,10,149.01,20,10.7,53.5,47.31,11.91,11.08,4.8
2000-01-07 16:00:00,17.94,12.56,32.13,0.04,2.98,11.77,4.02,6.5,169.83,36,7.75,23.06,52.31,55.51,10.58,21.44,29.88,5.98,52.98,26.03,7.66,28.12,20.59,16.56,46.5,4,29.41,19.44,785.94,75.5,26.25,16.31,46.56,10.13,153.86,20,10.62,53.63,47.5,11.85,11.31,4.93
2000-01-10 16:00:00,17.53,12.69,34.13,0.04,3.14,11.96,4.06,6.35,181.75,37.42,7.89,23.13,51.75,55.39,10.71,20.56,30.51,6.09,52.7,25.16,7.53,28.19,24.03,16.63,47.43,4.7,29.78,19.22,800,79.69,25.75,16.79,47.94,10.13,167.06,20,10.77,52.63,46.31,12.6,11.43,4.88
2000-01-11 16:00:00,17.38,12.69,33.25,0.05,3.08,11.81,4.09,6.44,175.38,36.96,7.88,23.38,52.25,52.85,11,20.69,30.63,6.39,52.2,24.66,7.55,28.5,23.75,16.44,45.81,3.8,30.34,19.41,800,71.81,26.13,15.66,49.44,10,159.01,20,10.53,49.88,45.63,12.3,11.38,4.86
2000-01-12 16:00:00,17.03,12.69,32.63,0.04,2.88,11.71,4.09,6.44,161.88,37.98,7.84,23.44,52.19,51.96,11.08,21,30.93,6.17,50.45,24.53,7.48,28.31,22.5,16.81,45.75,3.6,29.59,19,795.31,70,26.94,15.58,49.94,10.22,159.68,20.44,10.06,49.41,45.25,12.75,11.11,4.85
2000-01-13 16:00:00,16.84,12.75,32.5,0.04,3.05,11.83,4.17,6.38,164.5,37.92,8.14,23.38,55,51.96,10.71,21.56,30.59,6.25,50.06,24.56,7.71,28.75,22.92,16.94,47.47,3.2,30.41,18.98,810.94,71.69,27.25,16.11,49.19,10.09,165.35,20.38,10.13,54.69,47.06,12.8,12,4.88
2000-01-14 16:00:00,17.25,12.88,33.38,0.04,2.96,11.88,4.17,6.29,183.44,43.25,7.78,23.25,54.25,52.9,10.79,21.75,30.34,6.41,50.73,24.25,7.7,28.5,21.2,16.75,49.06,3.5,30.75,19.27,821.88,70.22,27.13,16.58,47.81,9.94,179.07,20.44,11.07,55.63,46.75,12.77,11.69,4.84
